Name,Value,Definition,L0 Instructions,L1 Instructions
acknowledgement,People,An acknowledgement of teams or individuals who have helped with the data set,Optional,Optional
agency,NERC,The organization through which data collection and processing were conducted (e.g. reads 'DFO' then the organization acronym),Optional,Optional
anchor_drop_time,2015-11-19 11:58:27 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was dropped,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
anchor_release_time,2015-11-19 12:01:09 UTC,The date and time (format YYYY-MM-DD hh:mm:ss UTC) at which the anchor was released,Optional (obtained from mooring logs),Optional (obtained from mooring logs)
anchor_type,500,The type and weight of anchor used,Optional,Optional
comment,Meta data is wrong,"A comment on the data set, processing or otherwise",Optional,Optional
country,UK,The country of the agency,Optional,Optional
country_institute_code,7444,The code number for the institute found at https://www.nodc.noaa.gov/General/NODC-Archive/institutionlist.txt (e.g. IOS has code 1823),Optional,Optional
cruise_description,No description,A description of the recovery and deployment missions,Optional,Optional
cut_lead_ensembles,3,The number of leading ensembles to cut from the dataset,Optional (use value = 0),Required
cut_trail_ensembles,3,The number of trailing ensembles to cut from the dataset,Optional (use value = 0),Required
deployment_cruise_number,WS16,The number of the deployment cruise,Optional,Optional
deployment_number,1000,The deployment number (used to follow a lettering scheme),Optional,Optional
history,No description,The history of the processing and data set,Optional,Optional
instrument_depth,5,Depth of the instrument in meters,Required,Required
instrument_subtype,Workhorse,"The instrument subtype (e.g. Workhorse, Broadband, Sentinel V)",Required,Required
latitude,26,Latitude of mooring,Required,Required
longitude,-77,Longitude of mooring,Required,Required
magnetic_variation,0,The average magnetic variation of the timeseries (e.g. obtained from https://www.geomag.nrcan.gc.ca/calc/mdcal-en.php),Optional,Required
platform,Walton Smith,The platform/ship name,Optional,Optional
project,MerMEED,The project under which the data were collected,Optional,Optional
publisher_email,no@no.com,The email of the data shop which published and processed this data set,Optional,Optional
recovery_lat,26,"If mooring was significantly displaced by a vessel strike, provide the latitude at the time of recovery",Optional,
recovery_lon,-77,"If mooring was significantly displaced by a vessel strike, provide the longitude at the time of recovery",Optional,
return_cruise_number,WS16,The number of the return cruise,Optional,Optional
scientist,Frajka-Williams E,The chief scientist of the project (last name first initial),Optional,Optional
sea_code,57A,The NODC code corresponding to the sea the station is in from NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt (e.g. Northeast Pacific Ocean has code 57A),Optional,Optional
sea_name,23,From the list of sea names provided by NOAA at https://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt,Optional,Optional
segment_end_indices,,"End index or indices of the dataset starting at 1. If multiple due to mooring strikes, format value as ""index1,index2,...,indexN""",Optional,
segment_start_indices,,"Start index or indices of the dataset starting at 1. If multiple due to mooring strikes, format value as ""index1,index2,...,indexN""",Optional,
serial_number,0,The serial number of the instrument,Required,Required
station,A1,"The station name for the mooring (e.g., A1)",Optional,Optional
water_depth,4000,Water depth in meters,Required,Required
